Date,East of England,West Midlands (England),South West (England),North West (England),Yorkshire and The Humber,South East (England),London,North East (England),Wales,East Midlands (England)
1999 Q3,1.3643194290481742,1.2390023560622458,1.3602808660675976,1.150563226447296,1.1188453587333433,1.4564879850453734,1.5637795404369903,1.1268985605073254,1.1824223443393183,1.2315496477126497
1999 Q4,1.4271397353690958,1.2777855972741283,1.425656452804367,1.1742543802728522,1.1440962545149564,1.5344729549619578,1.6541220595505204,1.1425820844010954,1.2119554390904275,1.264387854801947
2000 Q1,1.4853972486290976,1.3062119253333457,1.4757010266453383,1.1979816372068197,1.1573106137287141,1.6005989588564904,1.729503890616915,1.1560943269446577,1.2337278251458277,1.295736958262754
2000 Q2,1.5577199141169698,1.3494422279669773,1.5522396371318612,1.225386504914973,1.1885508918672298,1.6846614137090032,1.8281572004970077,1.172489144744573,1.2650917335814675,1.3371966335181105
2000 Q3,1.6139759947047163,1.3844749815042212,1.5989855502772365,1.2509815907848523,1.2174135946554865,1.7381956378103478,1.873573049378629,1.1923968141042636,1.2879431261023324,1.3776388412658418
2000 Q4,1.6410285426908802,1.4162132143292336,1.6241501333677164,1.278063660762977,1.2310233176030683,1.760414988602296,1.8898739843827068,1.2080971085758232,1.3094105456854888,1.4050845743023899
2001 Q1,1.66244646424917,1.4380637114062718,1.6494870561015418,1.2898803540576675,1.238597863753549,1.785357514723334,1.9234923313373402,1.22386895712793,1.3176009908754374,1.4239090678167525
2001 Q2,1.7270088242412303,1.4867726826834051,1.71743384986963,1.327990067178427,1.2813888770066484,1.8516174103185687,1.9970136947830919,1.246943474063669,1.3591413278033793,1.4810072998361778
2001 Q3,1.7957447785680043,1.528146991517524,1.7873805336015705,1.3595053150907057,1.3205838913640127,1.9163375077545655,2.0737100535668556,1.2810905420563186,1.4033503729883452,1.5282600988798285
2001 Q4,1.8629653637874888,1.5764535610383783,1.8455836979513172,1.3957583989417077,1.360109851428189,1.977220814384826,2.1348986631744444,1.3117576084713547,1.4293185508678385,1.5822541161961174
